NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANS|DAC|FID|SUB
!AIVDM,3,1,1,A,604759AVhe3F04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*49|!AIVDM,3,2,1,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5E|!AIVDM,3,3,1,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1D|6|0|4310309|0|431010869|1|1|0|
!AIVDM,3,1,6,A,604759AVhe3F04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*4E|!AIVDM,3,2,6,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*59|!AIVDM,3,3,6,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1A|6|0|4310309|0|431010869|1|1|0|
!AIVDM,3,1,7,A,604759IVhTpD04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*37|!AIVDM,3,2,7,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*58|!AIVDM,3,3,7,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1B|6|0|4310309|2|431002501|0|1|0|
!AIVDM,3,1,0,A,6047585VhSQD04003i@teTv0l59@U?pTpHvr0<PT860dvj1<D=@Ttr3B,0*47|!AIVDM,3,2,0,A,j1Dp@E9L5@E:0t9=A9D=@Ttrj10u=<T8hF0<tp=8E@F08ht<fj048uEB,0*28|!AIVDM,3,3,0,A,360lE@E:0htpNj0EPU=B0Tr1HT<TpUAV0tJ3?Fo?:sPr37C2o36sLD0,2*0A|6|0|4310304|1|431001109|0|1|0|
!AIVDM,3,1,8,A,604759IVhTpF04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*3A|!AIVDM,3,2,8,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*57|!AIVDM,3,3,8,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*14|6|0|4310309|2|431002501|1|1|0|
!AIVDM,3,1,9,A,604759AVhTa<04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*58|!AIVDM,3,2,9,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*56|!AIVDM,3,3,9,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*15|6|0|4310309|0|431002259|0|1|0|
!AIVDM,3,1,0,A,604759MVhaEL04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*3C|!AIVDM,3,2,0,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5F|!AIVDM,3,3,0,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1C|6|0|4310309|3|431007063|0|1|0|
!AIVDM,3,1,1,A,604759EVhe3D04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*4F|!AIVDM,3,2,1,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5E|!AIVDM,3,3,1,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1D|6|0|4310309|1|431010869|0|1|0|
!AIVDM,3,1,3,A,604759MVhaEN04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*3D|!AIVDM,3,2,3,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5C|!AIVDM,3,3,3,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1F|6|0|4310309|3|431007063|1|1|0|
!AIVDM,3,1,4,A,604759EVhe3F04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*48|!AIVDM,3,2,4,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5B|!AIVDM,3,3,4,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*18|6|0|4310309|1|431010869|1|1|0|
|!AIVDM,2,1,9,A,60474hqVhUgD04003hPtdd4T@v1LD5@PE;p5B3;7c;F0E<4plU<4dV1LqN3Dnu,0*35|!AIVDM,2,2,9,A,>3733HQ062j1<PU8UT5<,0*5A|6|0|4310211|2|431003381|0|1|0|
